Country,Count,Continents
CHINA,61,Asia
REPUBLIC OF KOREA,54,Asia
JAPAN,50,Asia
NIGERIA,50,Africa
RUSSIA,36,Europe
FRANCE,32,Europe
SWEDEN,29,Europe
CHINESE TAIPEI,28,Asia
SPAIN,28,Europe
UNITED STATES OF AMERICA,28,North America
INDIA,25,Asia
AUSTRALIA,19,Oceania
CANADA,19,North America
FINLAND,18,Europe
GERMANY,18,Europe
POLAND,17,Europe
BELARUS,17,Europe
SERBIA,17,Europe
EGYPT,16,Africa
BELGIUM,15,Europe
SLOVENIA,15,Europe
CZECH REPUBLIC,14,Europe
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,14,Asia
PUERTO RICO,14,North America
PORTUGAL,12,Europe
ITALY,12,Europe
THAILAND,12,Asia
AUSTRIA,12,Europe
ROMANIA,12,Europe
SLOVAKIA,11,Europe
UKRAINE,11,Europe
HUNGARY,11,Europe
CROATIA,11,Europe
SINGAPORE,10,Asia
CHILE,10,South America
MAURITIUS,10,Africa
GREECE,10,Europe
SWITZERLAND,9,Europe
NEW ZEALAND,9,Oceania
QATAR,9,Asia
JAMAICA,9,North America
LUXEMBOURG,9,Europe
BRAZIL,9,South America
CONGO DEMOCRATIC,9,Africa
HONG KONG,8,Asia
ENGLAND,8,Europe
DENMARK,8,Europe
VIETNAM,8,Asia
IRAN,8,Asia
KAZAKHSTAN,8,Asia
MACAO,7,Asia
BULGARIA,7,Europe
ESTONIA,7,Europe
ECUADOR,7,South America
BOLIVIA,7,South America
NORWAY,7,Europe
VENEZUELA,7,South America
DOMINICAN REPUBLIC,6,North America
TOGO,6,Africa
TURKEY,6,Asia
LEBANON,6,Asia
ALGERIA,6,Africa
MEXICO,6,North America
COLOMBIA,5,South America
LITHUANIA,5,Europe
ARGENTINA,5,South America
ISRAEL,5,Asia
KYRGYZSTAN,5,Asia
YEMEN,5,Asia
SCOTLAND,5,Europe
URUGUAY,5,South America
SAN MARINO,5,Europe
INDONESIA,5,Asia
MONGOLIA,5,Asia
BARBADOS,5,North America
PERU,5,South America
SOUTH AFRICA,5,Africa
PANAMA,5,North America
MADAGASCAR,5,Africa
NEPAL,5,Asia
SAUDI ARABIA,4,Asia
COTE D'IVOIRE,4,Africa
GUYANA,4,South America
PARAGUAY,4,South America
JORDAN,4,Asia
TUNISIA,4,Africa
MALAYSIA,4,Asia
LATVIA,4,Europe
CONGO BRAZZAVILLE,4,Africa
ICELAND,4,Europe
EL SALVADOR,4,North America
OMAN,4,Asia
KUWAIT,4,Asia
CUBA,4,North America
GUATEMALA,4,North America
MOLDOVA,4,Europe
SEYCHELLES,4,Africa
NETHERLANDS,3,Europe
SRI LANKA,3,Asia
ANGOLA,3,Africa
GHANA,3,Africa
UZBEKISTAN,3,Asia
AZERBAIJAN,3,Asia
VANUATU,3,Oceania
WALES,3,Europe
TRINIDAD AND TOBAGO,3,South America
IRELAND,3,Europe
TURKMENISTAN,3,Asia
NORTH MACEDONIA,3,Europe
TAHITI,3,Oceania
LAOS,3,Asia
NEW CALEDONIA,3,Oceania
MALDIVES,3,Asia
UNITED ARAB EMIRATES,3,Asia
PAKISTAN,3,Asia
MONTENEGRO,3,Europe
HAITI,2,North America
BAHRAIN,2,Asia
CYPRUS,2,Asia
BOSNIA & HERZEGOVINA,2,Europe
KOSOVO,2,Europe
FAROE ISLANDS,2,Europe
BENIN,2,Africa
COSTA RICA,2,North America
HONDURAS,2,North America
SUDAN,2,Africa
COOK ISLANDS,2,Oceania
FIJI ISLANDS,2,Oceania
ERITREA,2,Africa
DJIBOUTI,1,Africa
PAPUA NEW GUINEA,1,Oceania
ARUBA,1,North America
MALTA,1,Europe
CAMEROON,1,Africa
ALBANIA,1,Europe
JERSEY,1,Europe
SENEGAL,1,Africa
GABON,1,Africa
PHILLIPINES,1,Asia
KENYA,1,Africa
IRAQ,1,Asia
